id,exposure_endpoint_type,chemical,endpoint_value,endpoint_description,units,sex,life_cycle_stage,sample_size,location,type,age_specific,california_counties,condition,countries,error,lab,species,endpoint_value_original,endpoint_description_original,units_original,endpoint_value_numeric,endpoint_value_text,units_extracted,units_standardized,endpoint_description_standardized,data_type,has_error_range,is_quantitative,is_qualitative,has_numeric_value,has_units,dataset_source
7279,Population Density,,"BP: 47, SK: 14, LC: 325, CRP: 8, SP: 9, HP: 20, WP: 107, CP: 36, TP: 57, AP: 8",Annual estimated breeding population per pond,No. individuals,M,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,Breeding,USA,,,Amphibians,"BP: 47, SK: 14, LC: 325, CRP: 8, SP: 9, HP: 20, WP: 107, CP: 36, TP: 57, AP: 8",Annual estimated breeding population per pond,No. individuals,47,"BP: 47, SK: 14, LC: 325, CRP: 8, SP: 9, HP: 20, WP: 107, CP: 36, TP: 57, AP: 8",,count,Other,quantitative,false,true,false,true,true,exposure
7281,Population Density,,"BP: 36, SK: 3, LC: 216, CRP: 1, SP: 2, HP: 6, WP: 44, CP: 12, TP: 39, AP: 4",Annual estimated breeding population per pond,No. individuals,F,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,Breeding,USA,,,Amphibians,"BP: 36, SK: 3, LC: 216, CRP: 1, SP: 2, HP: 6, WP: 44, CP: 12, TP: 39, AP: 4",Annual estimated breeding population per pond,No. individuals,36,"BP: 36, SK: 3, LC: 216, CRP: 1, SP: 2, HP: 6, WP: 44, CP: 12, TP: 39, AP: 4",,count,Other,quantitative,false,true,false,true,true,exposure
7286,Time of Mating/ Laying,,See citation Figure 2,Start time of egg mass deposition,,,Embryo,,"35.42935, -82.54531",Exposure Factor Datasets,,,,USA,,,Amphibians,See citation Figure 2,Start time of egg mass deposition,,2,See citation Figure 2,,,Other,mixed,false,false,false,true,false,exposure
7297,Body Weight - Mean,,20,,g,M,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,20,,g,20,,,g,,quantitative,false,true,false,true,true,exposure
7282,Time of Mating/ Laying,,45789,Start time of egg mass deposition,,,Embryo,,"40.85352, -115.77215",Exposure Factor Datasets,,,,USA,,,Amphibians,45789,Start time of egg mass deposition,,45789,,,,Other,quantitative,false,true,false,true,false,exposure
7298,Foraging Distance,,71.3,Distance from creek,m,B,Both Adults and Juveniles,,"-41.09134, 146.01865",Exposure Factor Datasets,,Mendocino,,USA,,,Amphibians,71.3,Distance from creek,m,71.3,,,m,Other,quantitative,false,true,false,true,true,exposure
7299,Body length,,56,Snout-vent length,mm,M,Adult,Not reported,,Exposure Factor Datasets,,El Dorado,Museum specimens,USA,,,Amphibians,56,Snout-vent length,mm,56,,,mm,Other,quantitative,false,true,false,true,true,exposure
7300,Body length,,73,Snout-vent length,mm,F,Adult,Not reported,,Exposure Factor Datasets,,El Dorado,Museum specimens,USA,,,Amphibians,73,Snout-vent length,mm,73,,,mm,Other,quantitative,false,true,false,true,true,exposure
7308,Body length,,57,Snout-vent length,mm,F,Adult,1,,Exposure Factor Datasets,,Siskiyou,,USA,,,Amphibians,57,Snout-vent length,mm,57,,,mm,Other,quantitative,false,true,false,true,true,exposure
7309,Body Weight - Mean,,45.2,Snout-vent length,mm,B,Not Reported,,,Exposure Factor Datasets,,Humboldt,,USA,9.5,,Amphibians,45.2,Snout-vent length,mm,45.2,,,mm,Other,quantitative,false,true,false,true,true,exposure
7312,Time of Mating/ Laying,,"Spring, March-June",,,B,Adult,,,Exposure Factor Datasets,,,,USA,,,Amphibians,"Spring, March-June",,,,"Spring, March-June",,,,text,false,false,false,false,false,exposure
7315,Population Density,,176.9,Egg mass density,Egg masses/km river,,Embryo,,,Exposure Factor Datasets,,,,USA,,,Amphibians,176.9,Egg mass density,Egg masses/km river,176.9,,,Egg masses/km river,Other,quantitative,false,true,false,true,true,exposure
7316,Population Density,,16,Egg mass density,Egg masses/km river,,,,,Exposure Factor Datasets,,,,USA,,,Amphibians,16,Egg mass density,Egg masses/km river,16,,,Egg masses/km river,Other,quantitative,false,true,false,true,true,exposure
7328,Body length,,,Snout-vent length,mm,F,Adult,37,,Exposure Factor Datasets,,,Deceased post-metamorphosed specimens in museum collections,USA,,,Amphibians,,Snout-vent length,mm,,,,mm,Other,unknown,false,false,false,false,true,exposure
7336,Body length,,0.83,Total:Snout-vent length ratio,,M,Adult,2,,Exposure Factor Datasets,,Siskiyou,,USA,,,Amphibians,0.83,Total:Snout-vent length ratio,,0.83,,,,Other,quantitative,false,true,false,true,false,exposure
7340,Body length,,0.85,Total:Snout-vent length ratio,,F,Adult,2,,Exposure Factor Datasets,,Siskiyou,,USA,,,Amphibians,0.85,Total:Snout-vent length ratio,,0.85,,,,Other,quantitative,false,true,false,true,false,exposure
11045,Body length,,,,mm,M,Adult,See Table 3,"37.4260510, -121.9752373",Exposure Factor Datasets,,Santa Clara,,USA,,,Fish,,,mm,,,,mm,,unknown,false,false,false,false,true,exposure
7318,Body length,,,Snout-vent length,mm,NR,Juvenile,3,"47.38813, -116.08933",Exposure Factor Datasets,Larvae,Contra Costa,,USA,,,Amphibians,,Snout-vent length,mm,,,,mm,Other,unknown,false,false,false,false,true,exposure
7346,Territory Size,,35.9,Distance moved from aquatic to terrestrial habitat,m,B,Adult,59,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,24.6,,Amphibians,35.9,Distance moved from aquatic to terrestrial habitat,m,35.9,,,m,Other,quantitative,false,true,false,true,true,exposure
7333,Hatching Success,,89.7,Egg survival,%,B,Embryo,292,"-27.87311, 153.28202",Exposure Factor Datasets,,Mendocino,,USA,10.2,,Amphibians,89.7,Egg survival,%,89.7,,,percent,Other,quantitative,false,true,false,true,true,exposure
7327,Body length,,44,Snout-vent length,mm,NR,Adult,1,"53.05068, -1.40763",Exposure Factor Datasets,,Shasta,,USA,,,Amphibians,44,Snout-vent length,mm,44,,,mm,Other,quantitative,false,true,false,true,true,exposure
7330,Age at Sexual Maturity,,,,y,B,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,,USA,,,Amphibians,,,y,,,,y,,unknown,false,false,false,false,true,exposure
7332,Longevity,,10,,y,B,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,,USA,,,Amphibians,10,,y,10,,,y,,quantitative,false,true,false,true,true,exposure
7335,Time of Migration or Dispersal,,"Arrival: Dec/Jan, departure: Feb-March",Breeding migration,,M,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,,USA,,,Amphibians,"Arrival: Dec/Jan, departure: Feb-March",Breeding migration,,,"Arrival: Dec/Jan, departure: Feb-March",,,Other,text,false,false,false,false,false,exposure
7343,Body Weight - Mean,,,Mass of incoming adults,g,B,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,,USA,,,Amphibians,,Mass of incoming adults,g,,,,g,Other,unknown,false,false,false,false,true,exposure
7314,Population Density,,323.5,Egg mass density,Egg masses/km river,,Embryo,728 egg masses,"40.45231, -123.50888",Exposure Factor Datasets,,Humboldt,,USA,,,Amphibians,323.5,Egg mass density,Egg masses/km river,323.5,,,Egg masses/km river,Other,quantitative,false,true,false,true,true,exposure
7301,Body Weight - Mean,,13.2,,g,M,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,13.2,,g,13.2,,,g,,quantitative,false,true,false,true,true,exposure
7303,Body length,,53,Snout-vent length,mm,M,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,53,Snout-vent length,mm,53,,,mm,Other,quantitative,false,true,false,true,true,exposure
7304,Body length,,74.4,Snout-vent length,mm,F,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,74.4,Snout-vent length,mm,74.4,,,mm,Other,quantitative,false,true,false,true,true,exposure
7305,Body Weight - Mean,,12.8,,g,M,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,12.8,,g,12.8,,,g,,quantitative,false,true,false,true,true,exposure
7306,Body Weight - Mean,,35.5,,g,F,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,35.5,,g,35.5,,,g,,quantitative,false,true,false,true,true,exposure
7307,Body length,,54,Snout-vent length,mm,M,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,54,Snout-vent length,mm,54,,,mm,Other,quantitative,false,true,false,true,true,exposure
7310,Body Weight - Mean,,67.5,,g,M,Adult,1,"39.943, -74.20043",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,67.5,,g,67.5,,,g,,quantitative,false,true,false,true,true,exposure
7338,Body length,,43,Snout-vent length,mm,NR,Adult,1,"31.73023, -110.06047",Exposure Factor Datasets,,Shasta,,USA,,,Amphibians,43,Snout-vent length,mm,43,,,mm,Other,quantitative,false,true,false,true,true,exposure
7329,Body length,,50,Snout-vent length,mm,NR,Adult,1,"-33.33429, 149.70947",Exposure Factor Datasets,,Shasta,,USA,,,Amphibians,50,Snout-vent length,mm,50,,,mm,Other,quantitative,false,true,false,true,true,exposure
7331,Body length,,19.25,Snout-vent length,mm,NR,Juvenile,4,"-33.33429, 149.70947",Exposure Factor Datasets,,Shasta,,USA,,,Amphibians,19.25,Snout-vent length,mm,19.25,,,mm,Other,quantitative,false,true,false,true,true,exposure
7302,Body length,,126,Total length,mm,NR,Juvenile,1,"45.42177, -75.69122",Exposure Factor Datasets,Larvae,Contra Costa,,USA,,,Amphibians,126,Total length,mm,126,,,mm,Other,quantitative,false,true,false,true,true,exposure
7322,Body length,,77.6,Snout-vent length,mm,NR,Juvenile,37,"45.42177, -75.69122",Exposure Factor Datasets,Larvae,Contra Costa,,USA,,,Amphibians,77.6,Snout-vent length,mm,77.6,,,mm,Other,quantitative,false,true,false,true,true,exposure
7324,Body length,,127.3,Total length,mm,NR,Juvenile,37,"45.42177, -75.69122",Exposure Factor Datasets,Larvae,Contra Costa,,USA,,,Amphibians,127.3,Total length,mm,127.3,,,mm,Other,quantitative,false,true,false,true,true,exposure
7326,Body length,,97,Snout-vent length,mm,NR,Juvenile,1,"45.42177, -75.69122",Exposure Factor Datasets,Larvae,Contra Costa,,USA,,,Amphibians,97,Snout-vent length,mm,97,,,mm,Other,quantitative,false,true,false,true,true,exposure
7311,Body length,,70.7,Snout-vent length,mm,F,Adult,1,"40.48771, -86.76178",Exposure Factor Datasets,,Siskiyou,,USA,,,Amphibians,70.7,Snout-vent length,mm,70.7,,,mm,Other,quantitative,false,true,false,true,true,exposure
7356,Body length,,,Snout-vent length,mm,M,Adult,26,,Exposure Factor Datasets,,,Deceased post-metamorphosed specimens in museum collections,USA,,,Amphibians,,Snout-vent length,mm,,,,mm,Other,unknown,false,false,false,false,true,exposure
7359,Population Density,,See Figure 3,Egg masses/km,,B,Embryo,See citation,,Exposure Factor Datasets,,,,USA,,,Amphibians,See Figure 3,Egg masses/km,,3,See Figure 3,,,Other,quantitative,false,true,false,true,false,exposure
7360,Age at Sexual Maturity,,4,,y,B,Adult,,,Exposure Factor Datasets,,Solano,,USA,,,Amphibians,4,,y,4,,,y,,quantitative,false,true,false,true,true,exposure
7364,Population Density,,See Table 1,Presence in sites occupied prior to 1975,,,,,,Exposure Factor Datasets,,,,USA,,,Amphibians,See Table 1,Presence in sites occupied prior to 1975,,1,See Table 1,,,Other,quantitative,false,true,false,true,false,exposure
7365,Population Density,,"Rivers with dams: 5.5, free flowing rivers: 31.1",Clutch abundance per distance,Clutches/km,B,Embryo,,,Exposure Factor Datasets,,,,USA,"Rivers with dams: 1.2, free flowing rivers: 9.2",,Amphibians,"Rivers with dams: 5.5, free flowing rivers: 31.1",Clutch abundance per distance,Clutches/km,5.5,"Rivers with dams: 5.5, free flowing rivers: 31.1",,Clutches/km,Other,quantitative,false,true,false,true,true,exposure
7366,Hatching Success,,See Figure 4,Clutch survival by water discharge,,B,Embryo,"7-18, see figure description",,Exposure Factor Datasets,,,,USA,,,Amphibians,See Figure 4,Clutch survival by water discharge,,4,See Figure 4,,,Other,quantitative,false,true,false,true,false,exposure
7370,Body length,,10.9,Total length,mm,B,Neonate,9,,Exposure Factor Datasets,,Santa Cruz,,USA,,,Amphibians,10.9,Total length,mm,10.9,,,mm,Other,quantitative,false,true,false,true,true,exposure
7375,Body length,,33,Snout-vent length,mm,NR,,1,,Exposure Factor Datasets,,,Deceased specimensin museum collection,USA,,,Amphibians,33,Snout-vent length,mm,33,,,mm,Other,quantitative,false,true,false,true,true,exposure
7377,Dietary Composition,,"Zooplankton, arthropods, amphipods, mollusks, insect larvae, tadpoles of: Pacific tree frog tadpoles, California red-legged frogs, toads",Aquatic-phase diet,,B,Juvenile,,,Exposure Factor Datasets,,,,USA,,,Amphibians,"Zooplankton, arthropods, amphipods, mollusks, insect larvae, tadpoles of: Pacific tree frog tadpoles, California red-legged frogs, toads",Aquatic-phase diet,,,"Zooplankton, arthropods, amphipods, mollusks, insect larvae, tadpoles of: Pacific tree frog tadpoles, California red-legged frogs, toads",,,Other,text,false,false,false,false,false,exposure
7355,Body length,,27,Snout-vent length,mm,NR,Adult,1,"31.67237, -95.39228",Exposure Factor Datasets,,Shasta,,USA,,,Amphibians,27,Snout-vent length,mm,27,,,mm,Other,quantitative,false,true,false,true,true,exposure
7381,Body length,,37.4,Total length,mm,B,Adult,14,"34.13931, -118.63366",Exposure Factor Datasets,,Riverside,,USA,,,Amphibians,37.4,Total length,mm,37.4,,,mm,Other,quantitative,false,true,false,true,true,exposure
7383,Body length,,48.4,Snout-vent length,mm,F,Adult,1,"34.13931, -118.63366",Exposure Factor Datasets,,Riverside,,USA,,,Amphibians,48.4,Snout-vent length,mm,48.4,,,mm,Other,quantitative,false,true,false,true,true,exposure
7385,Body length,,45.8,Snout-vent length,mm,F,Adult,1,"34.13931, -118.63366",Exposure Factor Datasets,,Riverside,,USA,,,Amphibians,45.8,Snout-vent length,mm,45.8,,,mm,Other,quantitative,false,true,false,true,true,exposure
7349,Territory Size,,"50% protection: 556, 90%: 1486, 95%: 1849",Distance from pond edge to include X% of population,m,B,Both Adults and Juveniles,"Adults: 957, juveniles: 3208, metamorphs: 5877","32.55883, -97.03237",Exposure Factor Datasets,,Solano,,USA,,,Amphibians,"50% protection: 556, 90%: 1486, 95%: 1849",Distance from pond edge to include X% of population,m,50,"50% protection: 556, 90%: 1486, 95%: 1849",,m,Other,quantitative,false,true,false,true,true,exposure
7361,Body Weight - Mean,,10.77,Mean mass at emergence,g,B,Embryo,,"32.55883, -97.03237",Exposure Factor Datasets,,Solano,Emergence,USA,,,Amphibians,10.77,Mean mass at emergence,g,10.77,,,g,Other,quantitative,false,true,false,true,true,exposure
7354,Time of Migration or Dispersal,,November to April,,,B,Adult,,"40.73762, -111.83799",Exposure Factor Datasets,,,Breeding,USA,,,Amphibians,November to April,,,,November to April,,,,text,false,false,false,false,false,exposure
7348,Territory Size,,26,Distance moved from aquatic to terrestrial habitat,m,B,Juvenile,49,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,13.1,,Amphibians,26,Distance moved from aquatic to terrestrial habitat,m,26,,,m,Other,quantitative,false,true,false,true,true,exposure
7373,Body length,,57.2,Snout-vent length,mm,M,Adult,1,"36.969, -121.90498",Exposure Factor Datasets,,Santa Cruz,Deceased specimensin museum collection,USA,,,Amphibians,57.2,Snout-vent length,mm,57.2,,,mm,Other,quantitative,false,true,false,true,true,exposure
7347,Hatching Success,,,Annual reproductive success,metamorphs produced per reproductive female,B,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,,USA,,,Amphibians,,Annual reproductive success,metamorphs produced per reproductive female,,,,metamorphs produced per reproductive female,Other,unknown,false,false,false,false,true,exposure
7363,Population Density,,"FMC: 42, OEV: 64, VS1: 40, VS2: 29, VS3: 33, VS4: 29, CCR: 11, SCR: 14, LPR: 13, BCS: 25","Ne, effective population size",,B,Both Adults and Juveniles,203,"46.02249, -114.17681",Exposure Factor Datasets,,Merced,,USA,,,Amphibians,"FMC: 42, OEV: 64, VS1: 40, VS2: 29, VS3: 33, VS4: 29, CCR: 11, SCR: 14, LPR: 13, BCS: 25","Ne, effective population size",,42,"FMC: 42, OEV: 64, VS1: 40, VS2: 29, VS3: 33, VS4: 29, CCR: 11, SCR: 14, LPR: 13, BCS: 25",,,Other,quantitative,false,true,false,true,false,exposure
7371,Time of Mating/ Laying,,See citation Table 11,% breeding individuals by size class,%,B,Adult,137,"38.05371, -0.72206",Exposure Factor Datasets,Breeding,Santa Cruz,,USA,,,Amphibians,See citation Table 11,% breeding individuals by size class,%,11,See citation Table 11,,percent,Other,mixed,false,false,false,true,true,exposure
7372,Body length,,12.6,Total length,mm,B,Neonate,19,"38.05371, -0.72206",Exposure Factor Datasets,,Santa Cruz,,USA,,,Amphibians,12.6,Total length,mm,12.6,,,mm,Other,quantitative,false,true,false,true,true,exposure
7374,Body length,,"Day 0: 21.3, 13: 27.0, 25: 38.1, 50: 56.3, 92: 78.1, 103: 72.0",Total length,mm,B,,"Day 0: 13, 13: 12, 25/50: 14, 92: 10, 103: 7","38.05371, -0.72206",Exposure Factor Datasets,"Days 0, 13, 25, 50, 92, 103",Santa Cruz,,USA,,,Amphibians,"Day 0: 21.3, 13: 27.0, 25: 38.1, 50: 56.3, 92: 78.1, 103: 72.0",Total length,mm,0,"Day 0: 21.3, 13: 27.0, 25: 38.1, 50: 56.3, 92: 78.1, 103: 72.0",,mm,Other,quantitative,false,true,false,true,true,exposure
7376,Body length,,"Day 0: 20.0, 24: 27.6, 39: 47.4, 60: 67.1, 74: 76.0, 94: 82.1, 109: 81.4",Total length,mm,B,,"Day 0: 4, 24: 16, 39: 17, 60: 12, 74: 6, 94: 8, 109: 3","38.05371, -0.72206",Exposure Factor Datasets,"Days 0, 24, 39, 60, 74, 94, 109",Santa Cruz,,USA,,,Amphibians,"Day 0: 20.0, 24: 27.6, 39: 47.4, 60: 67.1, 74: 76.0, 94: 82.1, 109: 81.4",Total length,mm,0,"Day 0: 20.0, 24: 27.6, 39: 47.4, 60: 67.1, 74: 76.0, 94: 82.1, 109: 81.4",,mm,Other,quantitative,false,true,false,true,true,exposure
7362,Body Weight - Mean,,See citation Figure 4,Mean mass at emergence by cohort/location,g,B,Embryo,,"36.5982, -121.89647",Exposure Factor Datasets,,,Emergence,USA,,,Amphibians,See citation Figure 4,Mean mass at emergence by cohort/location,g,4,See citation Figure 4,,g,Other,mixed,false,false,false,true,true,exposure
7357,Time of Fledging or Metamorphosis,,2008: 9; 2009: 8.5,Time to metamorphosis,Weeks,B,Juvenile,Not reported,"30.90719, -95.3116",Exposure Factor Datasets,,Trinity,,USA,,,Amphibians,2008: 9; 2009: 8.5,Time to metamorphosis,Weeks,2008,2008: 9; 2009: 8.5,,Weeks,Other,quantitative,false,true,false,true,true,exposure
7358,Body length,,Increased in colder streams except at metamorphic climax,Snout-vent length,,,Juvenile,Not reported,"30.90719, -95.3116",Exposure Factor Datasets,,Trinity,,USA,,,Amphibians,Increased in colder streams except at metamorphic climax,Snout-vent length,,,Increased in colder streams except at metamorphic climax,,,Other,qualitative,false,false,true,false,false,exposure
7367,Time of Mating/ Laying,,See Figure 3; early April-mid June,Oviposition,Date,B,Embryo,Not reported,"30.90719, -95.3116",Exposure Factor Datasets,,Trinity,,USA,,,Amphibians,See Figure 3; early April-mid June,Oviposition,Date,3,See Figure 3; early April-mid June,,Date,Other,quantitative,false,true,false,true,true,exposure
7368,Time of Hatching or Parturition,,See Figure 3; mid May-late August,Post-hatching,Date,B,Tadpole,Not reported,"30.90719, -95.3116",Exposure Factor Datasets,,Trinity,,USA,,,Amphibians,See Figure 3; mid May-late August,Post-hatching,Date,3,See Figure 3; mid May-late August,,Date,Other,quantitative,false,true,false,true,true,exposure
7369,Time of Fledging or Metamorphosis,,See Figure 3; mid July-early October,Metamorphosis,Date,B,Juvenile,Not reported,"30.90719, -95.3116",Exposure Factor Datasets,,Trinity,,USA,,,Amphibians,See Figure 3; mid July-early October,Metamorphosis,Date,3,See Figure 3; mid July-early October,,Date,Other,quantitative,false,true,false,true,true,exposure
7353,Body length,,,Snout-vent length,mm,NR,Adult,3,"26.57251, -81.89002",Exposure Factor Datasets,,Shasta,,USA,,,Amphibians,,Snout-vent length,mm,,,,mm,Other,unknown,false,false,false,false,true,exposure
7387,Body length,,55.2,Standard length,mm,,,,,Exposure Factor Datasets,,Kern,,USA,,,Amphibians,55.2,Standard length,mm,55.2,,,mm,Other,quantitative,false,true,false,true,true,exposure
7399,Time of Mating/ Laying,,1955: early February; 1956: late February; 1957: sporadic; 1958: early February; 1959: mid-January,Main breeding effort by year,,B,Adult,,,Exposure Factor Datasets,,Santa Cruz,,USA,,,Amphibians,1955: early February; 1956: late February; 1957: sporadic; 1958: early February; 1959: mid-January,Main breeding effort by year,,1955,1955: early February; 1956: late February; 1957: sporadic; 1958: early February; 1959: mid-January,,,Other,quantitative,false,true,false,true,false,exposure
7401,Clutch or Litter Size,,307,Number of eggs,eggs,F,Adult,5,,Exposure Factor Datasets,,Santa Cruz,,USA,,,Amphibians,307,Number of eggs,eggs,307,,,eggs,Other,quantitative,false,true,false,true,true,exposure
