id,exposure_endpoint_type,chemical,endpoint_value,endpoint_description,units,sex,life_cycle_stage,sample_size,location,type,age_specific,california_counties,condition,countries,error,lab,species,endpoint_value_original,endpoint_description_original,units_original,endpoint_value_numeric,endpoint_value_text,units_extracted,units_standardized,endpoint_description_standardized,data_type,has_error_range,is_quantitative,is_qualitative,has_numeric_value,has_units,dataset_source
7213,,ENDOSULFAN,No effect,Time to metamorphosis,,B,Tadpole,18/treatment,"52.35263, -122.27928",Toxicity Factor Datasets,,Lake,,USA,,,Amphibians,No effect,Time to metamorphosis,,,No effect,,,Other,qualitative,false,false,true,false,false,toxicity
7214,,CHLORPYRIFOS,Decreased,Cholinesterase activity,,B,Tadpole,18/treatment,"52.35263, -122.27928",Toxicity Factor Datasets,,Lake,,USA,,,Amphibians,Decreased,Cholinesterase activity,,,Decreased,,,Other,qualitative,false,false,true,false,false,toxicity
7228,,CHLORPYRIFOS,3.005 mg/L,Mortality,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,3.005 mg/L,Mortality,,3.005,3.005 mg/L,mg/L,mg/L,Mortality,quantitative,false,true,false,true,true,toxicity
7232,,DIAZINON,7.488 mg/L,Mortality,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,7.488 mg/L,Mortality,,7.488,7.488 mg/L,mg/L,mg/L,Mortality,quantitative,false,true,false,true,true,toxicity
7235,,MALATHION,2.137 mg/L,Mortality,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,2.137 mg/L,Mortality,,2.137,2.137 mg/L,mg/L,mg/L,Mortality,quantitative,false,true,false,true,true,toxicity
7238,,,Not calculated,Mortality,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,Not calculated,Mortality,,,Not calculated,,,Mortality,text,false,false,false,false,false,toxicity
7241,,,0.760 mg/L,Mortality,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,0.760 mg/L,Mortality,,0.76,0.760 mg/L,mg/L,mg/L,Mortality,quantitative,false,true,false,true,true,toxicity
7244,,,0.023 mg/L,Mortality,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,0.023 mg/L,Mortality,,0.023,0.023 mg/L,mg/L,mg/L,Mortality,quantitative,false,true,false,true,true,toxicity
7247,,CHLORPYRIFOS,See Figure 1,Cholinesterase activity,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See Figure 1,Cholinesterase activity,,1,See Figure 1,,,Other,quantitative,false,true,false,true,false,toxicity
7250,,DIAZINON,See Figure 1,Cholinesterase activity,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See Figure 1,Cholinesterase activity,,1,See Figure 1,,,Other,quantitative,false,true,false,true,false,toxicity
7253,,MALATHION,See Figure 1,Cholinesterase activity,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See Figure 1,Cholinesterase activity,,1,See Figure 1,,,Other,quantitative,false,true,false,true,false,toxicity
7256,,,See Figure 1,Cholinesterase activity,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See Figure 1,Cholinesterase activity,,1,See Figure 1,,,Other,quantitative,false,true,false,true,false,toxicity
7245,,MERCURY (elemental),0.080 (0.06-0.12) ug/g ww,Tissue concentration,,B,Adult,3,"36.08792, -115.04426",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.080 (0.06-0.12) ug/g ww,Tissue concentration,,0.08,0.080 (0.06-0.12) ug/g ww,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7248,,MERCURY (elemental),0.082 (0.07-0.10),Tissue concentration,,F,Adult,3,"36.08792, -115.04426",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.082 (0.07-0.10),Tissue concentration,,0.082,0.082 (0.07-0.10),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7251,,MERCURY (elemental),0.070 (0.06-0.09),Tissue concentration,,F,Adult,3,"36.08792, -115.04426",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.070 (0.06-0.09),Tissue concentration,,0.07,0.070 (0.06-0.09),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7242,,MERCURY (elemental),0.080-0.686 ug/g ww,Tissue concentration,,NR,Not Reported,18,"38.83826, -94.36954",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.080-0.686 ug/g ww,Tissue concentration,,0.08,0.080-0.686 ug/g ww,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7216,,MERCURY (elemental),0.686 (0.32-1.10),Tissue concentration,,F,Adult,3,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.686 (0.32-1.10),Tissue concentration,,0.686,0.686 (0.32-1.10),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7219,,MERCURY (elemental),0.79,Tissue concentration,,F,Adult,1,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.79,Tissue concentration,,0.79,,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7234,,MERCURY (elemental),1.7,Tissue concentration,,M,Adult,1,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,1.7,Tissue concentration,,1.7,,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7237,,MERCURY (elemental),0.065 (0.04-0.11),Tissue concentration,,F,Adult,3,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.065 (0.04-0.11),Tissue concentration,,0.065,0.065 (0.04-0.11),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7240,,MERCURY (elemental),1.1,Tissue concentration,,M,Adult,1,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,1.1,Tissue concentration,,1.1,,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7243,,MERCURY (elemental),0.846 (0.47-1.5),Tissue concentration,,B,Adult,3,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.846 (0.47-1.5),Tissue concentration,,0.846,0.846 (0.47-1.5),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7265,,CHLORPYRIFOS,Logistic: 108.7 ug/L; SK: 66.5 ug/L,LC50,,B,Tadpole,18/treatment,"52.35263, -122.27928",Toxicity Factor Datasets,,Lake,,USA,,,Amphibians,Logistic: 108.7 ug/L; SK: 66.5 ug/L,LC50,,108.7,Logistic: 108.7 ug/L; SK: 66.5 ug/L,,,LC50,quantitative,false,true,false,true,false,toxicity
7259,,,See Figure 1,Cholinesterase activity,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See Figure 1,Cholinesterase activity,,1,See Figure 1,,,Other,quantitative,false,true,false,true,false,toxicity
7262,,,See Figure 1,Cholinesterase activity,,B,Tadpole,See Table 1,"35.13558, -78.9973",Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See Figure 1,Cholinesterase activity,,1,See Figure 1,,,Other,quantitative,false,true,false,true,false,toxicity
7260,,MERCURY (elemental),0.377 (0.37-0.39),Tissue concentration,,B,Adult,3,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.377 (0.37-0.39),Tissue concentration,,0.377,0.377 (0.37-0.39),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7263,,MERCURY (elemental),0.443 (0.35-0.58),Tissue concentration,,B,Adult,3,"34.16669, 131.20625",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.443 (0.35-0.58),Tissue concentration,,0.443,0.443 (0.35-0.58),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7223,,MERCURY (elemental),0.783 (0.56-1.20),Tissue concentration,,B,Adult,3,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.783 (0.56-1.20),Tissue concentration,,0.783,0.783 (0.56-1.20),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7227,,MERCURY (elemental),0.405 (0.12-0.74),Tissue concentration,,F,Adult,3,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.405 (0.12-0.74),Tissue concentration,,0.405,0.405 (0.12-0.74),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7231,,MERCURY (elemental),0.118 (0.08-0.16),Tissue concentration,,F,Adult,2,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.118 (0.08-0.16),Tissue concentration,,0.118,0.118 (0.08-0.16),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7255,,MERCURY (elemental),0.31,Tissue concentration,,F,Adult,1,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.31,Tissue concentration,,0.31,,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
7258,,MERCURY (elemental),0.11,Tissue concentration,,M,Adult,2,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.11,Tissue concentration,,0.11,,,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
8653,,STRONTIUM,"BI-89: 5.01, WM-89: 6.65, WM-91: 6.02, SW-91: 5.71 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 5.01, WM-89: 6.65, WM-91: 6.02, SW-91: 5.71 ¬µg/g ww",Egg concentration,,89,"BI-89: 5.01, WM-89: 6.65, WM-91: 6.02, SW-91: 5.71 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8659,,OXYCHLORDANE,"MS-90: 0.0355, BI-82: 0.109, BI-89: 0.0153, BI-90: 0.0549, WM-89: 0.0241, WM-90: 0.0306, WM-91: 0.0204, SW-91: 0.0167  ¬µg/g ww",Egg concentration,,Not Reported,Embryo,"BI-82: 10, others: 5","37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"MS-90: 0.0355, BI-82: 0.109, BI-89: 0.0153, BI-90: 0.0549, WM-89: 0.0241, WM-90: 0.0306, WM-91: 0.0204, SW-91: 0.0167  ¬µg/g ww",Egg concentration,,90,"MS-90: 0.0355, BI-82: 0.109, BI-89: 0.0153, BI-90: 0.0549, WM-89: 0.0241, WM-90: 0.0306, WM-91: 0.0204, SW-91: 0.0167  ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8660,,ZINC (elemental),"BI-89: 53.6, WM-89: 57.8, WM-91: 51.5, SW-91: 52.3 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 53.6, WM-89: 57.8, WM-91: 51.5, SW-91: 52.3 ¬µg/g ww",Egg concentration,,89,"BI-89: 53.6, WM-89: 57.8, WM-91: 51.5, SW-91: 52.3 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
7261,,MERCURY (elemental),0.123 (0.06-0.23),Tissue concentration,,M,Adult,2,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.123 (0.06-0.23),Tissue concentration,,0.123,0.123 (0.06-0.23),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
8666,,HEPTACHLOR EPOXIDE,"MS-90: 0.0160, BI-82: not detected, BI-89: 0.0170, BI-90: 0.0242, WM-89: 0.0151, WM-90: 0.0132, WM-91: 0.0146, SW-91: 0.0110  ¬µg/g ww",Egg concentration,,Not Reported,Embryo,"BI-82: 10, others: 5","37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"MS-90: 0.0160, BI-82: not detected, BI-89: 0.0170, BI-90: 0.0242, WM-89: 0.0151, WM-90: 0.0132, WM-91: 0.0146, SW-91: 0.0110  ¬µg/g ww",Egg concentration,,90,"MS-90: 0.0160, BI-82: not detected, BI-89: 0.0170, BI-90: 0.0242, WM-89: 0.0151, WM-90: 0.0132, WM-91: 0.0146, SW-91: 0.0110  ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
7264,,MERCURY (elemental),0.320 (0.21-0.49),Tissue concentration,,M,Adult,2,"34.9799429, -101.9191970",Toxicity Factor Datasets,,,,USA,,,Amphibians,0.320 (0.21-0.49),Tissue concentration,,0.32,0.320 (0.21-0.49),,,Bioaccumulation,quantitative,false,true,false,true,false,toxicity
8673,,TRANS-NONACHLOR,"MS-90: 0.0744, BI-82: 0.151, BI-89: 0.0290, BI-90: 0.166, WM-89: 0.0657, WM-90: 0.0677, WM-91: 0.0352, SW-91: 0.366  ¬µg/g ww",Egg concentration,,Not Reported,Embryo,"BI-82: 10, others: 5","37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"MS-90: 0.0744, BI-82: 0.151, BI-89: 0.0290, BI-90: 0.166, WM-89: 0.0657, WM-90: 0.0677, WM-91: 0.0352, SW-91: 0.366  ¬µg/g ww",Egg concentration,,90,"MS-90: 0.0744, BI-82: 0.151, BI-89: 0.0290, BI-90: 0.166, WM-89: 0.0657, WM-90: 0.0677, WM-91: 0.0352, SW-91: 0.366  ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8680,,CIS-NONACHLOR,"MS-90: 0.0233, BI-82: 0.103, BI-89: not detected, BI-90: 0.114, WM-91: not detected, SW-91: not detected ¬µg/g ww",Egg concentration,,Not Reported,Embryo,"BI-82: 10, others: 5","37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"MS-90: 0.0233, BI-82: 0.103, BI-89: not detected, BI-90: 0.114, WM-91: not detected, SW-91: not detected ¬µg/g ww",Egg concentration,,90,"MS-90: 0.0233, BI-82: 0.103, BI-89: not detected, BI-90: 0.114, WM-91: not detected, SW-91: not detected ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8709,,BORON COMPOUNDS,"BI-89: 0.408, WM-89: 0.395, WM-91: 0.859, SW-91: 1.29 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 0.408, WM-89: 0.395, WM-91: 0.859, SW-91: 1.29 ¬µg/g ww",Egg concentration,,89,"BI-89: 0.408, WM-89: 0.395, WM-91: 0.859, SW-91: 1.29 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8715,,PCB,"1982: 3.32, 1989: 1.23, 1990: 5.38 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,"1982: 10, 1989: 5, 1990: 5","37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"1982: 3.32, 1989: 1.23, 1990: 5.38 ¬µg/g ww",Egg concentration,,1982,"1982: 3.32, 1989: 1.23, 1990: 5.38 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8730,,COPPER (elemental),"BI-89: 7.16, WM-89: 7.10, WM-91: 7.12, SW-91: 6.21 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 7.16, WM-89: 7.10, WM-91: 7.12, SW-91: 6.21 ¬µg/g ww",Egg concentration,,89,"BI-89: 7.16, WM-89: 7.10, WM-91: 7.12, SW-91: 6.21 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8737,,IRON (elemental),"BI-89: 119.0, WM-89: 121.0, WM-91: 135.0, SW-91: 141.0 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 119.0, WM-89: 121.0, WM-91: 135.0, SW-91: 141.0 ¬µg/g ww",Egg concentration,,89,"BI-89: 119.0, WM-89: 121.0, WM-91: 135.0, SW-91: 141.0 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8743,,"DDE (4,4'-)","1982: 2.04, 1989: 1.71, 1990: 1.88  ¬µg/g ww",Egg concentration,,Not Reported,Embryo,"1982: 10, 1989: 5, 1990: 5","37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"1982: 2.04, 1989: 1.71, 1990: 1.88  ¬µg/g ww",Egg concentration,,1982,"1982: 2.04, 1989: 1.71, 1990: 1.88  ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8744,,MAGNESIUM COMPOUNDS,"BI-89: 549, WM-89: 623, WM-91: 597, SW-91: 643 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 549, WM-89: 623, WM-91: 597, SW-91: 643 ¬µg/g ww",Egg concentration,,89,"BI-89: 549, WM-89: 623, WM-91: 597, SW-91: 643 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
8751,,MANGANESE COMPOUNDS,"BI-89: 2.43, WM-89: 3.07, WM-91: 4.54, SW-91: 2.43 ¬µg/g ww",Egg concentration,,Not Reported,Embryo,5,"37.5296495, -122.2167401",Toxicity Factor Datasets,,,,USA,,,Birds,"BI-89: 2.43, WM-89: 3.07, WM-91: 4.54, SW-91: 2.43 ¬µg/g ww",Egg concentration,,89,"BI-89: 2.43, WM-89: 3.07, WM-91: 4.54, SW-91: 2.43 ¬µg/g ww",,,Other,quantitative,false,true,false,true,false,toxicity
11064,,POLYBROMINATED BIPHENYLS (PBBS),81 ng/g ww,Fat concentration,,M,Adult,5,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,81 ng/g ww,Fat concentration,,81,81 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11066,,POLYBROMINATED BIPHENYLS (PBBS),54.8 ng/g ww,Fat concentration,,F,Adult,6,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,54.8 ng/g ww,Fat concentration,,54.8,54.8 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11071,,,13000 ng/g ww,Fat concentration,,F,Adult,6,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,13000 ng/g ww,Fat concentration,,13000,13000 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11074,,,2440 ng/g ww,Fat concentration,,M,Adult,5,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,2440 ng/g ww,Fat concentration,,2440,2440 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11077,,,3720 ng/g ww,Fat concentration,,F,Adult,6,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,3720 ng/g ww,Fat concentration,,3720,3720 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11080,,CHLORDANE,330 ng/g ww,Fat concentration,,M,Adult,5,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,330 ng/g ww,Fat concentration,,330,330 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11083,,CHLORDANE,532 ng/g ww,Fat concentration,,F,Adult,6,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,532 ng/g ww,Fat concentration,,532,532 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11086,,,0.6 ng/g ww,Fat concentration,,M,Adult,5,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,0.6 ng/g ww,Fat concentration,,0.6,0.6 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11089,,,1.2 ng/g ww,Fat concentration,,F,Adult,6,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,1.2 ng/g ww,Fat concentration,,1.2,1.2 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11092,,HEXACHLOROBENZENE,106 ng/g ww,Fat concentration,,M,Adult,5,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,106 ng/g ww,Fat concentration,,106,106 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
11094,,HEXACHLOROBENZENE,234 ng/g ww,Fat concentration,,F,Adult,6,"13.4808571, 120.9563984",Toxicity Factor Datasets,,,,USA,,,Mammals,234 ng/g ww,Fat concentration,,234,234 ng/g ww,,,Other,quantitative,false,true,false,true,false,toxicity
7467,,"ARSENIC COMPOUNDS, CADMIUM COMPOUNDS, CHROMIUM COMPOUNDS, COPPER COMPOUNDS, SELENIUM COMPOUNDS","increase at contaminated, relative to reference site","resting oxygen consumption at 25C, measured in the lab",ml O2/hr/tadpole,Not Reported,Tadpole,45880,"30.74025, -89.49029",Toxicity Factor Datasets,80 d,,,,,,Amphibians,"increase at contaminated, relative to reference site","resting oxygen consumption at 25C, measured in the lab",ml O2/hr/tadpole,,"increase at contaminated, relative to reference site",,ml O2/hr/tadpole,Other,text,false,false,false,false,true,toxicity
7440,,"TETRACHLORODIBENZO-P-DIOXIN (2,3,7,8-)",no effect,,,Not Reported,Tadpole,15 animals/group,,Toxicity Factor Datasets,Taylor-Kollros stages I-VII,,,,,Laboratory,Amphibians,no effect,,,,no effect,,,,qualitative,false,false,true,false,false,toxicity
7441,,SULFURIC ACID,significant increase at pH 3.5 and 4.0,,,Not Reported,Tadpole,120 animals/dose,,Toxicity Factor Datasets,,,,,,Laboratory,Amphibians,significant increase at pH 3.5 and 4.0,,,3.5,significant increase at pH 3.5 and 4.0,,,,quantitative,false,true,false,true,false,toxicity
7442,,DIELDRIN,34.4 ug/l (95% CL: 31.1 - 38.1 ug/l),LC50,,Not Reported,Embryo,20 animals/replicate; 4 replicates/dose,,Toxicity Factor Datasets,"embryo-larvae, 11d",,,,,Laboratory,Amphibians,34.4 ug/l (95% CL: 31.1 - 38.1 ug/l),LC50,,34.4,34.4 ug/l (95% CL: 31.1 - 38.1 ug/l),%,percent,LC50,quantitative,false,true,false,true,true,toxicity
7443,,DIELDRIN,0.5 ug/g at 12.3 ug/l,"whole body dieldrin concentration (ug/g, wet wt.) at the NOAEL",,Not Reported,Tadpole,Not Reported,,Toxicity Factor Datasets,29 d,,,,,Laboratory,Amphibians,0.5 ug/g at 12.3 ug/l,"whole body dieldrin concentration (ug/g, wet wt.) at the NOAEL",,0.5,0.5 ug/g at 12.3 ug/l,,,Other,quantitative,false,true,false,true,false,toxicity
7444,,DIURON,12.7 mg/l (95% CI; 9.8 - 16.4),21 d LC50,,Not Reported,Tadpole,5/replicate; 3 replicates/dose,,Toxicity Factor Datasets,15 mo,,,,,Laboratory,Amphibians,12.7 mg/l (95% CI; 9.8 - 16.4),21 d LC50,,12.7,12.7 mg/l (95% CI; 9.8 - 16.4),mg/l,mg/l,LC50,quantitative,false,true,false,true,true,toxicity
7445,,FENTHION,decrease @ 60 ppb,"temperature tolerance, estimated by heating water at 1C/3min and using onset of spasms in frogs as the endpoint",,Not Reported,Juvenile,10 animals/replicate; 2 replicates/dose,,Toxicity Factor Datasets,,,,,,Laboratory,Amphibians,decrease @ 60 ppb,"temperature tolerance, estimated by heating water at 1C/3min and using onset of spasms in frogs as the endpoint",,60,decrease @ 60 ppb,ppb,μg/L,Other,quantitative,false,true,false,true,true,toxicity
7446,,AZINPHOS-METHYL (GUTHION),1.78 mg/l,NOAEL,,Not Reported,Tadpole,10 tadpoles/replicate; 2 replicates/dose; 5 doses,,Toxicity Factor Datasets,3 wk,,,,,Laboratory,Amphibians,1.78 mg/l,NOAEL,,1.78,1.78 mg/l,mg/l,mg/l,Other,quantitative,false,true,false,true,true,toxicity
7447,,"TETRACHLORODIBENZO-P-DIOXIN (2,3,7,8-)",no effect,incidence of morphological abnormalities,,Not Reported,Tadpole,15 animals/group,,Toxicity Factor Datasets,Taylor-Kollros stages I-VII,,,,,Laboratory,Amphibians,no effect,incidence of morphological abnormalities,,,no effect,,,Other,qualitative,false,false,true,false,false,toxicity
7448,,PARATHION,no effect,,,Not Reported,Tadpole,30 animals/dose,,Toxicity Factor Datasets,,,,,,Laboratory,Amphibians,no effect,,,,no effect,,,,qualitative,false,false,true,false,false,toxicity
