Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type,Endpoint Value_numeric,Tox Exposure Duration_minutes
ENDOSULFAN,114 [79.0-187 (84% CI)] ppb,LC90,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets,114.0,11520.0
ENDOSULFAN,7,LOEC,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets,7.0,11520.0
CYPERMETHRIN,0.025 ± 0.003 SE,Embryo mass,NR,Embryo,"Oregon State University, Corvallis",10.0,5.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets,0.025,2880.0
CYPERMETHRIN,0.269 ± 0.006 SE,Mass,NR,Neonate,"Oregon State University, Corvallis",10.0,0.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets,0.269,2880.0
CYPERMETHRIN,0.082 ± 0.007 SE,Mass,NR,Neonate,"Oregon State University, Corvallis",10.0,0.5 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets,0.082,2880.0
CYPERMETHRIN,0.089 ± 0.013 SE,Mass,NR,Neonate,"Oregon State University, Corvallis",10.0,5.0 µg/L,TOX-Non-Repro-Sublethal - whole animal,48 h,Waterborne,Toxicity Factor Datasets,0.089,2880.0
GLYPHOSATE,8279 mg/L,LC50,NR,Tadpole,San Francisco State University,144.0,"0, 5700, 5800, 6900, 7000, 7900, 8800 mg/L",TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets,8279.0,1440.0
GLYPHOSATE,6392 mg/L,LC50,NR,Tadpole,San Francisco State University,144.0,"0, 5700, 5800, 6900, 7000, 7900, 8800 mg/L",TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,6392.0,2880.0
GLYPHOSATE,0.375,% mortality,NR,Tadpole,San Francisco State University,24.0,5700 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.375,2880.0
GLYPHOSATE,0.375,% mortality,NR,Tadpole,San Francisco State University,24.0,5800 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.375,2880.0
GLYPHOSATE,0.667,% mortality,NR,Tadpole,San Francisco State University,24.0,6900 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.667,2880.0
GLYPHOSATE,0.542,% mortality,NR,Tadpole,San Francisco State University,24.0,7000 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.542,2880.0
GLYPHOSATE,0.75,% mortality,NR,Tadpole,San Francisco State University,24.0,7900 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.75,2880.0
GLYPHOSATE,1,% mortality,NR,Tadpole,San Francisco State University,24.0,8800 mg/L,TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,1.0,2880.0
GLYPHOSATE,5092 mg/L,LC50,NR,Tadpole,San Francisco State University,24.0,"0, 520 (440), 1900 (1319), 2700 (1758), 3100 (2198), 5100 (3077), 5200 (3736) mg/L glyphosate (surfactant)",TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets,5092.0,1440.0
GLYPHOSATE,0.5,% mortality,NR,Tadpole,San Francisco State University,24.0,5200 (3736) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,24 h,Waterborne,Toxicity Factor Datasets,0.5,1440.0
GLYPHOSATE,0.125,% mortality,NR,Tadpole,San Francisco State University,24.0,520 (440) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.125,2880.0
GLYPHOSATE,0.042,% mortality,NR,Tadpole,San Francisco State University,24.0,370 (264) mg/L glyphosate (surfactant),TOX-MORT - toxicity benchmarks,48 h,Waterborne,Toxicity Factor Datasets,0.042,2880.0
ZINC SULFATE,0.65,% mortality,NR,Tadpole,"Colorado Division of Wildlife Aquatic Toxicity Laboratory, Ft. Collins, CO",80.0,1000 µg/L,TOX-MORT - toxicity benchmarks,96 h,Waterborne,Toxicity Factor Datasets,0.65,5760.0
ZINC SULFATE,1,% mortality,NR,Tadpole,"Colorado Division of Wildlife Aquatic Toxicity Laboratory, Ft. Collins, CO",80.0,2000 µg/L,TOX-MORT - toxicity benchmarks,96 h,Waterborne,Toxicity Factor Datasets,1.0,5760.0
ENDOSULFAN,"1,147 [623-2,726 (84% CI)]",LC90,NR,Tadpole,University of Pittsburgh,120.0,"1, 5, 10, 50, 100, 500 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets,1.0,5760.0
ENDOSULFAN,7,LOEC,NR,Tadpole,University of Pittsburgh,120.0,"1, 5, 10, 50, 100, 500 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets,7.0,5760.0
MERCURY (elemental),459 ± 78.1 ppb,"Liver concentration, dead-captured",NR,NR,Pine Barrens,17.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,459.0,NR
LEAD (elemental),140 ± 38.6 ppb,"Liver concentration, dead-captured",NR,NR,Pine Barrens,17.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,140.0,NR
SELENIUM (elemental),985 ± 141 ppb,"Liver concentration, dead-captured",NR,NR,Pine Barrens,17.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,985.0,NR
ARSENIC (elemental),167 ± 53.2 ppb,"Kidney concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,167.0,NR
CADMIUM (elemental),95.1 ± 31.9 ppb,"Kidney concentration, dead-captured",NR,NR,Pine Barrens,15.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,95.1,NR
CARBARYL,See citation Figure 1,"Terrestrial sprint velocity, m/s",Both,Adult,"Savannah River Ecology Laboratory, University of Georgia",20.0,"0, 2.5, 25, 250 µg/g",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets,1.0,NR
CARBARYL,See citation Figure 2,"Arboreal sprint velocity, m/s",Both,Adult,Savannah River Ecology Laboratory,20.0,"0, 2.5, 25, 250 µg/g",TOX-Non-Repro-Sublethal - behavioral effects,Single dose,Oral gavage,Toxicity Factor Datasets,2.0,NR
MALATHION,See citation Figure 3B,"Arboreal sprint velocity, m/s",M,Juvenile,Savannah River Ecology Laboratory,13.0,"2.0, 20, 100 mg/kg",TOX-Non-Repro-Sublethal - behavioral effects,Dosed 3 times over 81 days,Oral gavage,Toxicity Factor Datasets,3.0,NR
"2,4,6-TRINITROTOLUENE",See citation Figure 1,Cricket consumption,M,Adult,NR,60.0,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - whole animal,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets,1.0,NR
"2,4,6-TRINITROTOLUENE",Threshold dose 25-35 mg/kg/d,Chromaturia/vent area staining,M,Adult,NR,60.0,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets,25.0,NR
"2,4,6-TRINITROTOLUENE",Decreased 35-45 mg/kg/d,Testes/body weight,M,Adult,NR,60.0,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets,35.0,NR
"2,4,6-TRINITROTOLUENE",Increased 35-45 mg/kg/d,Spleen/body weight,M,Adult,NR,60.0,"0, 3, 15, 25, 35, 45 mg/kg/d",TOX-Non-Repro-Sublethal - organ/system effects,Daily doses through mortality,Oral gavage,Toxicity Factor Datasets,35.0,NR
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",72 mg/kg [49-106 (95% CI)],LD50,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",44.0,"0, 20-200 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,72.0,NR
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",88 mg/kg [65-119 (95% CI)],LD50,F,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",44.0,"0, 20-200 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,88.0,NR
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",3.25 d,Mean days of survival,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42.0,"0, 10, 20, 25, 30, 45, 60 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets,3.25,20160.0
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",8.45 µg/g,Brain concentration,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60.0,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-EXP IND - accumulation,60 d,Oral gavage,Toxicity Factor Datasets,8.45,86400.0
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",27.75 µg/g,Brain concentration,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",42.0,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-EXP IND - accumulation,Single dose,Oral gavage,Toxicity Factor Datasets,27.75,NR
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",19.33 d,Mean days of survival,M,Adult,"U.S. Army Center for Health
Promotion and Preventive Medicine",60.0,"0, 1, 2.5, 5, 8, 11 mg/kg/d",TOX-MORT - toxicity benchmarks,60 d,Oral gavage,Toxicity Factor Datasets,19.33,86400.0
"2-AMINO-4,6-DINITROTOLUENE",1406 [947-2087 (95% CI)],LD50,M,Adult,NR,60.0,"0, 200-3175 mg/kg",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,1406.0,NR
"2-AMINO-4,6-DINITROTOLUENE",1867 [1076-3237 (95%CI)],LD50,F,Adult,NR,60.0,"0, 200-5000 mg/kd",TOX-MORT - toxicity benchmarks,Single dose,Oral gavage,Toxicity Factor Datasets,1867.0,NR
"2-AMINO-4,6-DINITROTOLUENE",9.3 d,Days of survival,M,Adult,NR,60.0,"0, 15, 24, 38, 60, 95, 150 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets,9.3,20160.0
"2-AMINO-4,6-DINITROTOLUENE",9.9 d,Days of survival,F,Adult,NR,60.0,"0, 15, 24, 38, 60, 95, 150 mg/kg/d",TOX-MORT - toxicity benchmarks,14 d,Oral gavage,Toxicity Factor Datasets,9.9,20160.0
"DDE (4,4'-)",7.76 ug/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,7.76,NR
OXYCHLORDANE,1.27 µg/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.27,NR
TRANS-NONCHLOR,0.90 µg/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.9,NR
MIREX,0.36 µg/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.36,NR
DIELDRIN,0.19 µg/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.19,NR
HEPTACHLOR EPOXIDE,0.13 µg/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.13,NR
CIS-NONCHLOR,0.08 µg/kg ww,Egg concentrations,NR,Embryo,Fern Ridge Reservoir,14.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.08,NR
PBDE MIXTURE,86.1 ± 8.4 ng/g wet weight (18.3% ± 1.9%),Carcass retention of cumulative dose,Both,Hatchling,NR,55.0,Day 19 incubation: 1.43 g/g egg weight; Days 1-29 posthatch: 38.1ng/g body weight,TOX-EXP IND - accumulation,Through 29 d posthatch,Incubation day 19: egg injection; days 1-29 posthatch: oral gavage,Toxicity Factor Datasets,86.1,NR
PCB,438 ± 30 ng/g wet weight (16.8% ± 0.9%),Carcass retention of cumulative dose,Both,Hatchling,NR,33.0,Day 19 incubation: 1.0 g/g egg weight; days 1-29 posthatch: 294 ng/g body weight,TOX-EXP IND - accumulation,Through 29 d posthatch,Incubation day 19: egg injection; days 1-29 posthatch: oral gavage,Toxicity Factor Datasets,438.0,NR
PCB,See citation Figure 4,Nonsteady-state BMF PCB congeners,Both,Hatchling,NR,33.0,Day 19 incubation: 1.0 g/g egg weight; days 1-29 posthatch: 294 ng/g body weight,TOX-EXP IND - accumulation,Through 29 d posthatch,Incubation day 19: egg injection; days 1-29 posthatch: oral gavage,Toxicity Factor Datasets,4.0,NR
HDBP (halogenated dimethyl bipyrroles),"14,580 ± 20 mm3",Egg volume,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",39.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,14.0,NR
HDBP (halogenated dimethyl bipyrroles),0.173 ± 0.001 mm,Egg shell thickness,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",9.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,0.173,NR
HDBP (halogenated dimethyl bipyrroles),5.25 ± 0.9 eggs,Clutch size,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,5.25,NR
HDBP (halogenated dimethyl bipyrroles),64 ± 5 %,% fertile eggs in clutch,NR,Embryo,"Avian Science and Conservation
Centre of McGill University",8.0,0.13 µg/bird/day,TOX-REPRO - development,Incubation period,In ovo via maternal transfer,Toxicity Factor Datasets,64.0,NR
OXYCHLORDANE,0.005 µg/g ww ± 0.004,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.005,NR
MIREX,0.03 µg/g ww ± 0.01,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.03,NR
PCB,0.57 µg/g ww ± 0.47,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.57,NR
ALUMINUM COMPOUNDS,1 µg/g dw,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.0,NR
ARSENIC (elemental),0.10 µg/g dw,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.1,NR
CHROMIUM (elemental),1.62 µg/g dw,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.62,NR
COPPER (elemental),60.2 µg/g dw,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,60.2,NR
IRON (elemental),312 µg/g dw,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,312.0,NR
SELENIUM (elemental),10.22 µg/g dw,Liver concentration,NR,Hatchling,"Snake and Pigeon Islands, Eastern Lake Ontario",4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,10.22,NR
METHYLMERCURY,0.013 µg,Daily mean deposition in feather,NR,Nestling,Virginia & New York,32.0,NR,TOX-EXP IND - accumulation,NR,Environmental contaimination,Toxicity Factor Datasets,0.013,NR
PCB,3.45 µg/g ww,Body concentration,NR,Hatchling,Cat Island,10.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,3.45,NR
CIS-NONACHLOR,0.017 µg/g ww,Body concentration,NR,Hatchling,Cat Island,10.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.017,NR
PCB,3.45 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,3.45,NR
POLYCHLORINATED DIBENZO-P-DIOXINS,263 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,263.0,NR
"DDE (4,4'-)",1613.5 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1613.5,NR
"DDD (4,4'-)",0.50 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.5,NR
"DDT (2,4'-)",0.23 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.23,NR
"DDT (4,4'-)",5.47 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,5.47,NR
CIS-CHLORDANE,0.26 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.26,NR
HEPTACHLOR EPOXIDE,9.28 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,9.28,NR
DIELDRIN,48.68 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,48.68,NR
MIREX,4.41 µg/g,Egg concentration,NR,Embryo,Green Bay,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,4.41,NR
MERCURY COMPOUNDS,1.44 µg/g ww,Stomach content concentration,NR,Both Adults and Juveniles,"Churchill County, reference sites in Elko County",3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.44,NR
METHYLMERCURY,1.18 µg/g ww,Stomach content concentration,NR,Both Adults and Juveniles,"Churchill County, reference sites in Elko County",3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.18,NR
MERCURY COMPOUNDS,134.8 µg/g ww,Liver concentration,Both,Adult,"Churchill County, contaminated sites",6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,134.8,NR
MERCURY COMPOUNDS,69.36 µg/g ww,Kidney concentration,Both,Adult,"Churchill County, contaminated sites",6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,69.36,NR
MERCURY COMPOUNDS,11.26 µg/g ww,Brain concentration,Both,Adult,"Churchill County, contaminated sites",6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,11.26,NR
MERCURY COMPOUNDS,17.14 µg/g ww,Blood concentration,Both,Adult,"Churchill County, contaminated sites",6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,17.14,NR
MERCURY COMPOUNDS,17.96 µg/g ww,Liver concentration,Both,Adult,"Elko County, reference site",6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,17.96,NR
MERCURY COMPOUNDS,8.80 µg/g ww,Kidney concentration,Both,Adult,"Elko County, reference site",3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,8.8,NR
MERCURY COMPOUNDS,1.22 µg/g ww,Brain concentration,Both,Adult,"Elko County, reference site",3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.22,NR
MERCURY COMPOUNDS,3.09 µg/g ww,Blood concentration,Both,Adult,"Elko County, reference site",3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,3.09,NR
